id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial
C002,0.84,0.86,0.45,0.89
C046,0.86,0.74,0.57,0.92
C023,0.44,0.86,0.5,0.4
C021,0.62,0.7,0.96,0.71
C049,0.47,0.71,0.88,0.65
C017,0.92,0.66,0.78,0.53
C015,0.77,0.42,0.92,0.47
C034,0.6,0.46,0.88,0.6
C010,0.44,0.42,0.51,0.97
C028,0.59,0.78,0.94,0.59
C006,0.6,0.59,0.72,0.71
C050,0.84,0.71,0.88,0.82
C033,0.78,0.94,0.94,0.62
C043,0.93,0.55,0.59,0.98
C037,0.68,0.65,0.47,0.98
C047,0.47,0.85,0.54,0.55
C024,0.83,0.54,0.66,0.7
