id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial,tipo_cliente
COM_017,0.96,0.46,0.57,0.46,Comercial
COM_010,0.75,0.81,0.51,0.94,Comercial
COM_008,0.63,0.44,0.85,0.7,Comercial
COM_025,0.79,0.59,0.88,0.9,Comercial
COM_013,0.67,0.91,0.99,0.59,Comercial
COM_033,0.73,0.41,0.65,0.94,Comercial
COM_014,0.96,0.89,0.62,0.63,Comercial
COM_046,0.63,0.57,0.87,0.41,Comercial
COM_037,0.98,0.47,0.6,0.94,Comercial
COM_040,0.94,0.82,0.96,0.45,Comercial
COM_048,0.52,0.78,0.92,0.59,Comercial
COM_047,0.44,0.93,0.66,0.97,Comercial
COM_024,0.46,0.84,0.85,0.97,Comercial
COM_020,0.41,0.88,0.85,0.74,Comercial
