id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial
C037,0.58,0.62,0.63,0.6
C019,0.57,0.78,0.96,0.61
C043,0.42,0.78,0.48,0.84
C041,0.77,0.72,0.6,0.94
C047,0.7,0.45,0.47,0.93
C049,0.43,0.9,0.95,0.87
C028,0.57,0.59,0.93,0.79
C020,0.94,0.51,0.55,0.45
C030,0.54,0.42,0.8,0.5
C039,0.49,0.75,0.89,0.94
C021,0.69,0.81,0.73,0.76
C002,0.99,0.41,0.72,0.41
C017,0.55,0.71,0.55,0.46
C045,0.8,0.54,0.46,0.8
C034,0.86,0.79,0.94,0.4
C016,0.54,0.5,0.94,0.5
C006,0.84,0.81,0.78,0.73
