id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial,tipo_cliente
COM_028,0.78,0.49,0.99,0.85,Comercial
COM_046,0.67,0.86,0.85,0.75,Comercial
COM_019,0.58,0.77,0.63,0.98,Comercial
COM_024,0.6,0.46,0.45,0.62,Comercial
COM_007,0.8,0.45,0.87,0.57,Comercial
COM_017,0.85,0.82,0.74,0.92,Comercial
COM_036,0.87,0.44,0.65,0.53,Comercial
COM_023,0.87,0.89,0.94,0.98,Comercial
COM_037,0.45,0.82,0.47,0.41,Comercial
COM_035,0.7,0.45,0.7,0.98,Comercial
COM_041,0.43,0.45,0.41,0.43,Comercial
COM_009,0.73,0.99,0.68,0.93,Comercial
COM_026,0.66,0.62,0.43,0.72,Comercial
COM_040,0.93,0.62,0.47,1.0,Comercial
COM_008,0.61,0.89,0.47,0.44,Comercial
COM_034,0.47,0.97,0.79,0.73,Comercial
