id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial,tipo_cliente
RES_037,0.79,0.83,0.91,0.58,Residencial
RES_019,0.91,0.57,0.59,0.89,Residencial
RES_043,0.79,0.41,0.5,0.89,Residencial
RES_041,0.74,0.79,0.73,0.92,Residencial
RES_047,0.46,0.51,0.96,0.95,Residencial
RES_049,0.62,0.96,0.82,0.71,Residencial
RES_028,0.56,0.97,0.74,0.7,Residencial
RES_020,0.55,0.95,0.46,0.88,Residencial
RES_030,0.98,0.62,0.77,0.79,Residencial
RES_039,0.64,0.41,0.99,0.82,Residencial
RES_021,0.94,0.96,0.48,0.88,Residencial
RES_002,0.78,0.66,0.71,0.93,Residencial
RES_017,0.88,0.98,0.93,0.6,Residencial
RES_045,0.7,0.98,0.84,0.63,Residencial
RES_034,0.75,0.91,0.82,0.46,Residencial
RES_016,0.7,0.58,0.82,0.75,Residencial
RES_006,0.52,0.63,0.62,0.42,Residencial
