id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial,tipo_cliente
RES_045,0.68,0.84,0.8,0.69,Residencial
RES_014,0.73,0.99,0.57,0.68,Residencial
RES_005,0.57,0.71,0.97,0.5,Residencial
RES_004,0.75,0.59,0.84,0.66,Residencial
RES_018,0.42,0.88,0.73,0.64,Residencial
RES_044,0.42,0.56,0.77,0.77,Residencial
RES_016,0.89,0.66,0.65,0.78,Residencial
RES_030,0.62,0.45,0.55,0.43,Residencial
RES_011,0.48,0.42,0.61,0.62,Residencial
RES_003,0.71,0.98,0.85,0.78,Residencial
RES_021,0.86,0.9,0.41,0.7,Residencial
RES_027,0.53,0.82,0.47,0.91,Residencial
RES_026,0.77,0.65,0.43,0.8,Residencial
RES_008,0.45,0.5,0.42,0.5,Residencial
RES_019,0.43,0.49,0.91,0.44,Residencial
RES_023,0.72,0.55,0.82,0.79,Residencial
RES_006,0.72,0.73,0.68,0.42,Residencial
RES_007,0.78,0.83,0.46,0.75,Residencial
