id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial,tipo_cliente,area
RES_002,0.94,0.51,0.55,0.45,Residencial,brilla
RES_046,0.54,0.42,0.8,0.5,Residencial,brilla
RES_023,0.49,0.75,0.89,0.94,Residencial,brilla
RES_021,0.69,0.81,0.73,0.76,Residencial,brilla
RES_049,0.99,0.41,0.72,0.41,Residencial,brilla
RES_017,0.55,0.71,0.55,0.46,Residencial,brilla
RES_015,0.8,0.54,0.46,0.8,Residencial,brilla
RES_034,0.86,0.79,0.94,0.4,Residencial,brilla
RES_010,0.54,0.5,0.94,0.5,Residencial,brilla
RES_028,0.84,0.81,0.78,0.73,Residencial,brilla
RES_006,0.62,0.63,0.6,0.82,Residencial,brilla
RES_050,0.78,0.96,0.61,0.79,Residencial,brilla
RES_033,0.78,0.48,0.84,0.53,Residencial,brilla
RES_043,0.72,0.6,0.94,0.83,Residencial,brilla
RES_037,0.45,0.47,0.93,0.54,Residencial,brilla
RES_047,0.9,0.95,0.87,0.6,Residencial,brilla
RES_024,0.59,0.93,0.79,0.85,Residencial,brilla
RES_037,0.79,0.83,0.91,0.58,Residencial,consumo
RES_019,0.91,0.57,0.59,0.89,Residencial,consumo
RES_043,0.79,0.41,0.5,0.89,Residencial,consumo
RES_041,0.74,0.79,0.73,0.92,Residencial,consumo
RES_047,0.46,0.51,0.96,0.95,Residencial,consumo
RES_049,0.62,0.96,0.82,0.71,Residencial,consumo
RES_028,0.56,0.97,0.74,0.7,Residencial,consumo
RES_020,0.55,0.95,0.46,0.88,Residencial,consumo
RES_030,0.98,0.62,0.77,0.79,Residencial,consumo
RES_039,0.64,0.41,0.99,0.82,Residencial,consumo
RES_021,0.94,0.96,0.48,0.88,Residencial,consumo
RES_002,0.78,0.66,0.71,0.93,Residencial,consumo
RES_017,0.88,0.98,0.93,0.6,Residencial,consumo
RES_045,0.7,0.98,0.84,0.63,Residencial,consumo
RES_034,0.75,0.91,0.82,0.46,Residencial,consumo
RES_016,0.7,0.58,0.82,0.75,Residencial,consumo
RES_006,0.52,0.63,0.62,0.42,Residencial,consumo
RES_045,0.68,0.84,0.8,0.69,Residencial,sad
RES_014,0.73,0.99,0.57,0.68,Residencial,sad
RES_005,0.57,0.71,0.97,0.5,Residencial,sad
RES_004,0.75,0.59,0.84,0.66,Residencial,sad
RES_018,0.42,0.88,0.73,0.64,Residencial,sad
RES_044,0.42,0.56,0.77,0.77,Residencial,sad
RES_016,0.89,0.66,0.65,0.78,Residencial,sad
RES_030,0.62,0.45,0.55,0.43,Residencial,sad
RES_011,0.48,0.42,0.61,0.62,Residencial,sad
RES_003,0.71,0.98,0.85,0.78,Residencial,sad
RES_021,0.86,0.9,0.41,0.7,Residencial,sad
RES_027,0.53,0.82,0.47,0.91,Residencial,sad
RES_026,0.77,0.65,0.43,0.8,Residencial,sad
RES_008,0.45,0.5,0.42,0.5,Residencial,sad
RES_019,0.43,0.49,0.91,0.44,Residencial,sad
RES_023,0.72,0.55,0.82,0.79,Residencial,sad
RES_006,0.72,0.73,0.68,0.42,Residencial,sad
RES_007,0.78,0.83,0.46,0.75,Residencial,sad
